journal year, journal position, references
1992, 627, 1
1947, 270, 1
1947, 467, 1
1951, 75, 1
1951, 110, 1
1952, 108, 1
1982, 33, 1
1995, 679, 1
1995, 739, 1
1995, 971, 1
1980, 136, 1
1980, 550, 1
1980, 718, 1
1980, 1157, 1
1987, 166, 1
1983, 223, 1
1994, 386, 1
1991, 547, 1
1994, 713, 1
1992, 704, 1
1984, 181, 1
1989, 181, 1
1950, 173, 1
1958, 40, 1
1964, 297, 1
1994, 251, 1
1987, 83, 1
2000, 126, 1
1991, 484, 1
1994, 684, 1
1994, 887, 1
1994, 1112, 1
1997, 652, 1
1946, 17, 1
1989, 440, 1
1993, 181, 1
1993, 172, 1
1999, 321, 1
1980, 486, 1
1980, 646, 1
1980, 25, 1
1980, 426, 1
1989, 18, 1
1989, 654, 1
1995, 6, 1
1935, 199, 1
1947, 141, 1
1989, 17, 1
1996, 926, 1
1996, 945, 1
1997, 702, 1
1997, 1037, 1
1997, 1099, 1
1997, 1191, 1
1997, 1216, 1
1997, 1315, 1
1995, 7, 1
1998, 943, 1
1970, 35, 1
1973, 89, 1
1974, 319, 1
1996, 80, 1
1991, 50, 1
1987, 178, 1
1988, 2, 1
1989, 369, 1
1989, 198, 1
1993, 620, 1
1995, 405, 1
1990, 564, 1
1991, 239, 1
1991, 313, 1
1991, 591, 1
1991, 214, 1
1992, 127, 1
1992, 472, 1
1992, 34, 1
2000, 992, 1
1995, 234, 1
1972, 345, 1
1983, 79, 1
1985, 181, 1
1999, 257, 1
1999, 902, 1
1996, 661, 1
1987, 190, 1
1996, 771, 1
1963, 115, 1
1996, 256, 1
1933, 396, 1
1934, 855, 1
1936, 24, 1
1938, 15, 1
1938, 227, 1
1938, 258, 1
1939, 476, 1
1944, 19, 1
1944, 24, 1
1944, 44, 1
1945, 240, 1
1946, 28, 1
1946, 57, 1
1947, 4, 1
1947, 413, 1
1948, 183, 1
1949, 109, 1
1950, 333, 1
1950, 407, 1
1951, 138, 1
1951, 313, 1
1951, 466, 1
1954, 78, 1
1954, 116, 1
1958, 154, 1
1968, 6, 1
1972, 190, 1
1997, 21, 1
1964, 24, 1
1994, 425, 1
1970, 272, 1
1936, 237, 1
1954, 135, 1
1991, 114, 1
1991, 369, 1
1991, 661, 1
1991, 677, 1
1991, 724, 1
1991, 779, 1
1991, 884, 1
1991, 942, 1
1991, 194, 1
1996, 175, 1
1997, 467, 1
1996, 756, 1
1974, 198, 1
1974, 222, 1
2000, 959, 1
2001, 537, 1
1983, 139, 1
1984, 270, 1
1981, 474, 1
1981, 791, 1
1997, 485, 1
1969, 97, 1
1969, 98, 1
1990, 85, 1
1989, 99, 1
1990, 505, 1
1999, 142, 1
1950, 459, 1
1958, 356, 1
1982, 56, 1
1990, 312, 1
1993, 15, 1
1971, 124, 1
1964, 655, 1
1964, 852, 1
1964, 1037, 1
1966, 872, 1
1966, 1126, 1
1991, 1104, 1
1991, 1228, 1
1991, 1324, 1
1997, 347, 1
1997, 584, 1
1998, 550, 1
1998, 1041, 1
1998, 1251, 1
1998, 1315, 1
1998, 965, 1
1990, 1009, 1
1990, 1041, 1
2000, 78, 1
2000, 530, 1
2000, 618, 1
1996, 498, 1
1995, 120, 1
1961, 42, 1
1989, 433, 1
1997, 1027, 1
1985, 163, 1
1985, 406, 1
1993, 309, 1
1974, 124, 1
1991, 237, 1
1989, 434, 1
1999, 958, 1
1998, 604, 1
1964, 94, 1
1985, 141, 1
1989, 261, 1
1990, 417, 1
1984, 149, 1
1991, 453, 1
1984, 185, 1
1988, 169, 1
1991, 494, 1
1996, 721, 1
1958, 398, 1
1962, 166, 1
1971, 250, 1
1991, 646, 1
1997, 83, 1
1997, 405, 1
1997, 436, 1
1991, 85, 1
1991, 720, 1
1991, 449, 1
1993, 559, 1
1972, 342, 1
1985, 604, 1
1985, 679, 1
1985, 751, 1
1989, 461, 1
1998, 651, 1
1989, 668, 1
1989, 684, 1
1975, 461, 1
1998, 473, 1
1997, 751753, 1
1985, 944, 1
1971, 116, 1
1997, 486, 1
1997, 483, 1
1997, 802, 1
1990, 3, 1
1990, 163, 1
1990, 509, 1
1990, 591, 1
1985, 607, 1
1997, 925, 1
1946, 7, 1
1990, 943, 1
1998, 483, 1
1991, 538, 1
1991, 592, 1
1991, 776, 1
1991, 1121, 1
1982, 234, 1
1982, 400, 1
1982, 254, 1
1982, 451, 1
1982, 860, 1
1982, 1016, 1
1982, 1118, 1
1991, 163, 1
1991, 2, 1
1991, 110, 1
1991, 283, 1
1991, 355, 1
1991, 723, 1
1991, 589, 1
1998, 228, 1
1989, 372, 1
1989, 457, 1
1989, 491, 1
1967, 153, 1
1967, 495, 1
1967, 554, 1
1967, 770, 1
1967, 944, 1
1967, 1114, 1
1967, 500, 1
1994, 484, 1
1994, 589, 1
1994, 770, 1
1994, 883, 1
1997, 594, 1
1982, 24, 1
1982, 178, 1
1982, 640, 1
2000, 834, 1
1935, 99, 1
1994, 382, 1
1994, 1014, 1
1947, 266, 1
1994, 939, 1
1994, 945, 1
1990, 1178, 1
2000, 295, 1
1961, 320, 1
1961, 175, 1
1961, 192, 1
1963, 169, 1
1966, 161, 1
1990, 386, 1
1998, 95, 1
2000, 486, 1
1964, 757, 1
1996, 383, 1
1996, 948, 1
1991, 504, 1
1998, 1062, 1
1994, 483, 1
1994, 682, 1
1985, 1255, 1
1999, 965, 1
1990, 668, 1
1933, 311, 1
1959, 62, 1
1949, 297, 1
1960, 67, 1
1962, 169, 1
1968, 13, 1
1989, 55, 1
1989, 74, 1
1990, 90, 1
1965, 137, 1
1989, 422, 1
1996, 602, 1
1987, 127, 1
1990, 515, 1
1996, 469, 1
1994, 323, 1
1994, 324, 1
1998, 769, 1
1996, 152, 1
1996, 554, 1
1995, 1126, 1
1992, 754, 1
1992, 770, 1
1992, 776, 1
1992, 926, 1
1984, 770, 1
1996, 386, 1
1997, 1062, 1
1967, 215, 1
1982, 496, 1
1982, 471, 1
1995, 63, 1
1990, 636, 1
1990, 853, 1
1998, 20, 1
2000, 638, 1
1999, 1179, 1
2001, 424, 1
2000, 1234, 1
1971, 117, 1
1997, 1029, 1
1985, 1125, 1
1986, 132, 1
1991, 415, 1
1995, 884, 1
1998, 394, 1
2000, 564, 1
1999, 939, 1
1998, 298, 1
1998, 459, 1
2001, 388, 1
1999, 746, 1
2000, 352, 1
2000, 1196, 1
2001, 749, 1
1993, 43, 1
2000, 891, 1
2001, 807, 1
2001, 810, 1
1993, 1100, 1
2001, 639, 1
2001, 858, 1
1997, 1028, 1
1974, 1152, 1
1974, 239, 1
1974, 489, 1
1974, 1127, 1
1974, 1268, 1
1974, 301, 1
1936, 282, 1
2001, 640, 1
1997, 872, 1
1999, 1193, 1
1971, 29, 1
1971, 310, 1
1971, 475, 1
1999, 963, 1
1999, 1043, 1
2010, 613, 1
2009, 1223, 1
2010, 95, 1
2006, 722, 1
2008, 1390, 1
2009, 1362, 1
2009, 667, 1
2010, 1461, 1
2011, 584, 1
2010, 354, 1
2011, 828, 1
2011, 851, 1
2009, 1652, 1
2010, 355, 1
2010, 1306, 1
2004, 745, 1
2005, 851, 1
2006, 1050, 1
2006, 971, 1
2007, 1104, 1
2008, 1181, 1
2007, 883, 1
2008, 262, 1
2008, 1121, 1
2008, 1198, 1
2008, 1414, 1
2011, 768, 1
2011, 897, 1
2009, 1551, 1
2009, 1738, 1
2010, 527, 1
2010, 1427, 1
1999, 493, 1
1999, 698, 1
1999, 1037, 1
1999, 1268, 1
1996, 668, 1
1996, 1115, 1
1991, 1115, 1
1991, 756, 1
1991, 854, 1
2000, 179, 1
1982, 1268, 1
1991, 726, 1
1997, 475, 1
1997, 634, 1
1997, 761, 1
1997, 811, 1
1997, 954, 1
2000, 487, 1
1997, 550, 1
1997, 1249, 1
2001, 471, 1
2001, 1113, 1
2001, 937, 1
2001, 1084, 1
2001, 1195, 1
1997, 489, 1
1997, 718, 1
1997, 816, 1
1997, 852, 1
1997, 1158, 1
1997, 1314, 1
1997, 1382, 1
1997, 1441, 1
2000, 1556, 1
1961, 319, 1
1994, 554, 1
1994, 726, 1
1993, 484, 1
1994, 557, 1
1990, 255, 1
1991, 331, 1
1993, 67, 1
1993, 647, 1
2000, 273, 1
1989, 769, 1
1999, 1205, 1
1998, 1124, 1
1990, 214, 1
1999, 1225, 1
2000, 734, 1
1985, 575, 1
1994, 256, 1
1994, 678, 1
1996, 885, 1
1996, 943, 1
2001, 1268, 1
1999, 78, 1
2000, 1190, 1
1994, 787, 1
1994, 1119, 1
1986, 178, 1
1999, 751, 1
2001, 248, 1
2001, 563, 1
2000, 162, 1
1990, 554, 1
1990, 685, 1
1990, 769, 1
1990, 934, 1
1990, 153, 1
1990, 569, 1
1990, 661, 1
1994, 647, 1
1995, 115, 1
1997, 697, 1
1999, 690, 1
2011, 1529, 1
2009, 586, 1
2010, 760, 1
2010, 554, 1
2010, 1443, 1
2010, 1499, 1
2011, 1390, 1
1992, 1114, 1
2001, 1087, 1
1999, 1784, 1
2007, 115, 1
2008, 326, 1
2010, 1466, 1
2011, 945, 1
2011, 1321, 1
2003, 1749, 1
2011, 1097, 1
2002, 1068, 1
2006, 844, 1
2004, 2532, 1
2005, 1272, 1
2004, 95, 1
2004, 576, 1
2005, 1497, 1
2006, 1846, 1
2005, 1341, 1
2005, 2080, 1
2006, 1550, 1
2005, 264, 1
2005, 1259, 1
2006, 1040, 1
2001, 1532, 1
2002, 795, 1
2007, 474, 1
2005, 626, 1
2006, 602, 1
2006, 1193, 1
2006, 1833, 1
2007, 902, 1
2005, 786, 1
2006, 385, 1
2006, 1828, 1
2001, 808, 1
2010, 133, 1
2001, 169, 1
2004, 2441, 1
2003, 1011, 1
2003, 1635, 1
2003, 1828, 1
2001, 802, 1
2002, 974, 1
2002, 1572, 1
2007, 1028, 1
2011, 1058, 1
2011, 482, 1
2011, 735, 1
2011, 806, 1
2011, 854, 1
2011, 1342, 1
2006, 1191, 1
2005, 908, 1
1982, 2052, 1
2003, 389, 1
2002, 979, 1
2001, 1644, 1
2001, 1192, 1
2000, 1310, 1
2001, 1196, 1
2003, 495, 1
2005, 1631, 1
2006, 1078, 1
2004, 2774, 1
2001, 1796, 1
2002, 749, 1
2002, 1689, 1
2002, 1920, 1
2010, 12, 1
2011, 1101, 1
2001, 855, 1
1989, 874, 1
2002, 694, 1
2008, 1158, 1
2008, 443, 1
2008, 829, 1
2003, 1324, 1
2004, 1535, 1
2004, 2155, 1
2005, 66, 1
2005, 2252, 1
2008, 393, 1
2008, 900, 1
2008, 1343, 1
2008, 1466, 1
2004, 1596, 1
2008, 1459, 1
2010, 960, 1
2007, 1241, 1
2011, 1338, 1
2002, 1801, 1
2011, 1376, 1
2008, 1411, 1
2008, 1461, 1
2008, 1573, 1
2006, 1378, 1
2006, 1831, 1
2008, 856, 1
2004, 1529, 1
2011, 1195, 1
2005, 1015, 1
2005, 1944, 1
2001, 1592, 1
2001, 1590, 1
2001, 574, 1
2002, 1269, 1
1951, 28, 1
1960, 297, 1
1990, 159, 1
2001, 967, 1
2006, 1121, 1
2006, 62, 1
2004, 2598, 1
2011, 112, 1
2011, 134, 1
2011, 550, 1
2011, 588, 1
2011, 889, 1
2004, 1712, 1
2006, 709, 1
2008, 1199, 1
2004, 1159, 1
2004, 2647, 1
2008, 59, 1
2008, 1428, 1
2008, 1572, 1
2006, 1122, 1
2005, 1461, 1
2005, 2131, 1
2002, 559, 1
2001, 724, 1
1997, 399, 1
2006, 1629, 1
2011, 867, 1
2002, 1398, 1
2003, 1299, 1
2006, 1354, 1
2009, 403, 1
2001, 1362, 1
2003, 1112, 1
1997, 1127, 1
2001, 1148, 1
2002, 1270, 1
2000, 319, 1
2003, 974, 1
2007, 404, 1
2010, 619, 1
2008, 585, 1
2010, 99, 1
2002, 1389, 1
2002, 391, 1
2004, 1551, 1
2004, 1709, 1
2005, 267, 1
2003, 1663, 1
2005, 2020, 1
2006, 518, 1
2006, 1032, 1
2005, 1119, 1
2001, 1439, 1
2004, 1317, 1
2008, 620, 1
2009, 119, 1
2009, 911, 1
2009, 963, 1
2009, 1475, 1
2010, 191, 1
2011, 201, 1
2011, 734, 1
2008, 1416, 1
2010, 224, 1
2010, 903, 1
2011, 1001, 1
2011, 1112, 1
2008, 1539, 1
2009, 1501, 1
2011, 18, 1
2008, 892, 1
2009, 957, 1
2007, 47, 1
2001, 389, 1
2001, 1384, 1
2006, 1830, 1
2002, 1263, 1
2002, 300, 1
2004, 77, 1
2007, 345, 1
2000, 1313, 1
2006, 473, 1
2011, 721, 1
2011, 431, 1
2010, 1652, 1
2011, 226, 1
2011, 1243, 1
2010, 685, 1
2011, 1061, 1
2011, 963, 1
2007, 689, 1
2007, 1103, 1
2007, 1369, 1
2007, 1821, 1
2009, 1, 1
2009, 572, 1
2009, 1650, 1
2009, 785, 1
2010, 141, 1
2010, 204, 1
2010, 1130, 1
2008, 1410, 1
2009, 786, 1
2007, 328, 1
2002, 981, 1
2004, 1667, 1
2005, 1442, 1
2001, 1361, 1
2002, 299, 1
2002, 1500, 1
2005, 1251, 1
2007, 94, 1
2007, 1374, 1
2008, 359, 1
2008, 902, 1
2008, 1289, 1
2009, 3, 1
2011, 1113, 1
2011, 1209, 1
2011, 1372, 1
2004, 2268, 1
2006, 857, 1
2010, 672, 1
2007, 846, 1
2008, 1057, 1
2009, 818, 1
2011, 1003, 1
2011, 1326, 1
2004, 1759, 1
2005, 1441, 1
2005, 1457, 1
2006, 128, 1
2006, 1337, 1
2007, 327, 1
2007, 974, 1
2008, 1111, 1
2009, 420, 1
2010, 142, 1
2011, 679, 1
2006, 1008, 1
2006, 1829, 1
2008, 625, 1
2008, 901, 1
2008, 1095, 1
2008, 1113, 1
2002, 204, 1
2002, 691, 1
2006, 1694, 1
2002, 221, 1
2005, 1247, 1
2007, 665, 1
2007, 1373, 1
2007, 1844, 1
2008, 914, 1
2007, 957, 1
1997, 1151, 1
2000, 169, 1
2002, 1681, 1
2000, 1090, 1
2001, 1783, 1
2003, 1300, 1
2006, 877, 1
2011, 1099, 1
2001, 1300, 1
2003, 1689, 1
2003, 2271, 1
2008, 1342, 1
2008, 899, 1
2010, 105, 1
2009, 309, 1
2004, 531, 1
2009, 1220, 1
2007, 1236, 1
2006, 362, 1
2006, 875, 1
2007, 1394, 1
2009, 804, 1
2008, 817, 1
2009, 334, 1
2006, 1432, 1
2007, 848, 1
2010, 1041, 1
2011, 1207, 1
2002, 1823, 1
2005, 422, 1
2006, 359, 1
2006, 440, 1
1991, 435, 1
2005, 1315, 1
2007, 405, 1
2005, 2255, 1
2004, 40, 1
2002, 1067, 1
2002, 927, 1
1990, 756, 1
1990, 1118, 1
2001, 1197, 1
2002, 2057, 1
2001, 209, 1
2003, 2016, 1
2002, 596, 1
2000, 1116, 1
2001, 83, 1
2003, 1591, 1
2002, 332, 1
2002, 733, 1
2001, 805, 1
2002, 2053, 1
2002, 1731, 1
2008, 192, 1
2009, 791, 1
2002, 1180, 1
2001, 1114, 1
2003, 198, 1
2004, 533, 1
2004, 883, 1
2001, 1351, 1
2001, 623, 1
2004, 145, 1
2004, 288, 1
2004, 874, 1
2004, 1100, 1
2004, 884, 1
2004, 465, 1
2004, 632, 1
1974, 64, 1
1958, 138, 1
1961, 47, 1
1961, 159, 1
1973, 282, 1
2001, 1298, 1
2002, 656, 1
2004, 37, 1
2004, 892, 1
2009, 975, 1
2004, 466, 1
2005, 1965, 1
2009, 1710, 1
2000, 443, 1
2010, 1496, 1
2010, 1657, 1
2011, 695, 1
2010, 233, 1
2010, 1395, 1
2011, 1377, 1
2011, 332, 1
2007, 287, 1
2009, 1222, 1
2010, 489, 1
2009, 340, 1
2010, 1118, 1
2003, 2019, 1
2000, 1168, 1
2003, 361, 1
2002, 1680, 1
2004, 226, 1
2002, 1061, 1
2002, 1142, 1
2002, 1750, 1
2002, 1935, 1
2002, 2255, 1
2004, 2775, 1
2011, 1006, 1
2006, 1614, 1
2008, 1182, 1
2010, 1592, 1
2011, 1385, 1
2009, 860, 1
2011, 1182, 1
2011, 1210, 1
2002, 363, 1
2003, 1537, 1
2004, 1845, 1
2002, 58, 1
2002, 731, 1
2002, 996, 1
2002, 1457, 1
2003, 1873, 1
2006, 969, 1
2006, 1412, 1
2006, 1825, 1
2008, 730, 1
2009, 587, 1
2010, 708, 1
2009, 1217, 1
2007, 720, 1
2007, 1446, 1
2007, 1240, 1
2007, 1290, 1
2009, 1707, 1
2010, 1507, 1
2008, 1664, 1
2009, 584, 1
2009, 1553, 1
2010, 359, 1
2010, 471, 1
2001, 974, 1
2001, 1786, 1
2003, 2263, 1
2004, 1678, 1
2003, 1116, 1
2004, 591, 1
2002, 1383, 1
2003, 1069, 1
2006, 446, 1
2009, 339, 1
2003, 154, 1
2003, 2219, 1
2005, 114, 1
2006, 551, 1
2002, 967, 1
2002, 1361, 1
2002, 2060, 1
2003, 1936, 1
2006, 456, 1
2007, 468, 1
2005, 2118, 1
2006, 268, 1
2006, 1536, 1
2004, 2772, 1
2006, 997, 1
2007, 218, 1
2007, 851, 1
2006, 218, 1
2007, 431, 1
2007, 484, 1
2004, 104, 1
2004, 1907, 1
2004, 1838, 1
2002, 369, 1
2001, 359, 1
2002, 86, 1
2007, 215, 1
2004, 293, 1
2001, 1352, 1
2003, 661, 1
2004, 878, 1
2005, 1567, 1
2008, 634, 1
2008, 1417, 1
2009, 38, 1
2009, 75, 1
2003, 962, 1
2003, 1839, 1
2011, 1599, 1
2011, 639, 1
2008, 293, 1
2011, 659, 1
2011, 1192, 1
2004, 1758, 1
2009, 768, 1
2007, 418, 1
2009, 1484, 1
2010, 1509, 1
2001, 1381, 1
2002, 1181, 1
2002, 1265, 1
2001, 1079, 1
2003, 451, 1
2004, 1267, 1
2008, 1281, 1
2010, 124, 1
2010, 871, 1
